# results created from PlotTSM_array_bullet_shockprior.py
# parameter, location, 68% LCL, 68% UCL, 95% LCL, 95% UCL
m1, 15.1530, 13.6369, 16.5970, 12.1569, 18.0770
m2, 1.4976, 1.3469, 1.6466, 1.1989, 1.7946
z1, 0.2956, 0.2954, 0.2958, 0.2951, 0.2961
z2, 0.2983, 0.2981, 0.2984, 0.2980, 0.2985
dproj, 0.7173, 0.6834, 0.7479, 0.6426, 0.7876
alpha, 23.8805, 15.7362, 38.3979, 11.4038, 52.7281
d3d, 0.7887, 0.7366, 0.9105, 0.6891, 1.1634
dmax, 1.1667, 1.0275, 1.6875, 0.9525, 3.1125
v3dobs, 1604.9089, 1083.4240, 2450.9012, 794.5204, 3153.9000
v3dcol, 2809.6174, 2628.5985, 3262.5906, 2497.8785, 3811.6147
TSC_0, 0.3494, 0.2650, 0.4700, 0.2099, 0.6154
TSC_1, 1.2528, 0.9889, 2.0114, 0.8930, 4.6316
T, 1.6424, 1.4375, 2.3375, 1.3125, 4.8125
