# results created from PlotTSM_array_bullet.py
# parameter, location, 68% LCL, 68% UCL, 95% LCL, 95% UCL
m1, 15.0373, 13.5444, 16.5785, 12.0644, 18.0585
m2, 1.5002, 1.3450, 1.6410, 1.1896, 1.7964
z1, 0.2956, 0.2954, 0.2958, 0.2951, 0.2961
z2, 0.2983, 0.2981, 0.2984, 0.2980, 0.2985
dproj, 0.7205, 0.6916, 0.7558, 0.6517, 0.7978
alpha, 49.6364, 26.5255, 72.4801, 14.7319, 83.8671
d3d, 1.1233, 0.8326, 2.5638, 0.6995, 7.0915
dmax, 1.3008, 1.0750, 2.5250, 0.9750, 6.4250
v3dobs, 822.1254, 642.7145, 1458.7993, 545.5615, 2488.6206
v3dcol, 2979.3163, 2690.6905, 3762.5947, 2533.8265, 4180.8988
TSC_0, 0.5852, 0.3426, 1.0897, 0.2430, 3.8787
TSC_1, 1.2407, 0.9729, 2.4428, 0.9090, 8.1946
T, 1.7985, 1.4663, 3.1913, 1.3513, 8.0787
