RAh,RAm,RAs,DE-,DEd,DEm,DEs,PosErr,z,e_z,source,Rmag,e_Rmag
,,,,,,,arcsec,---,---,---,mag,mag
09,15,40.142,+,29,55,06.71,0.5,0.234777,0.000020,DEIMOS 2011A,20.983,0.007
09,15,41.501,+,29,47,07.64,0.5,0.530381,0.000024,DEIMOS 2011A,23.398,0.048
09,15,41.682,+,29,55,13.05,0.5,0.704062,0.000033,DEIMOS 2011A,22.586,0.024
09,15,41.726,+,29,56,12.79,0.5,0.498200,0.000015,DEIMOS 2011A,22.664,0.016
09,15,42.418,+,29,46,55.71,0.5,0.899342,0.000101,DEIMOS 2011A,22.246,0.017
09,15,42.618,+,29,55,07.01,0.5,0.354237,0.000021,DEIMOS 2011A,21.776,0.009
09,15,42.975,+,29,46,36.50,0.5,0.590963,0.000015,DEIMOS 2011A,22.045,0.011
09,15,43.032,+,29,46,38.90,0.5,0.591004,0.000019,DEIMOS 2011A,22.193,0.014
09,15,43.670,+,29,54,40.75,0.5,0.257894,0.000015,DEIMOS 2011A,21.222,0.007
09,15,44.250,+,29,47,55.53,0.5,0.697367,0.000012,DEIMOS 2011A,21.701,0.010
09,15,44.326,+,29,47,41.17,0.5,0.843942,0.000036,DEIMOS 2011A,22.350,0.015
09,15,44.467,+,29,46,51.54,0.5,0.365656,0.000004,DEIMOS 2011A,20.797,0.004
09,15,44.579,+,29,47,21.48,1.27,0.388370,0.000107,DEIMOS 2011A,NULL,NULL
09,15,44.605,+,29,46,06.30,0.5,0.530617,0.000021,DEIMOS 2011A,23.044,0.031
09,15,44.868,+,29,47,04.06,0.5,0.186066,0.000019,DEIMOS 2011A,20.427,0.003
09,15,45.000,+,29,48,38.83,0.5,0.638186,0.000073,DEIMOS 2011A,23.276,0.034
09,15,45.177,+,29,53,56.39,0.5,0.496301,0.000019,DEIMOS 2011A,20.507,0.005
09,15,45.283,+,29,46,28.06,1.27,0.240020,0.000107,DEIMOS 2011A,NULL,NULL
09,15,45.331,+,29,46,27.49,0.5,0.240074,0.000003,DEIMOS 2011A,19.735,0.002
09,15,45.425,+,29,47,52.28,0.5,1.036780,0.000025,DEIMOS 2011A,23.255,0.035
09,15,46.161,+,29,48,04.03,0.5,0.590888,0.000029,DEIMOS 2011A,21.439,0.008
09,15,46.165,+,29,48,57.80,0.5,0.729583,0.000075,DEIMOS 2011A,22.023,0.012
09,15,46.168,+,29,57,16.90,0.5,0.709908,0.000040,DEIMOS 2011A,22.594,0.029
09,15,46.387,+,29,58,08.05,0.5,0.781496,0.000034,DEIMOS 2011A,23.243,0.035
09,15,46.562,+,29,56,04.89,0.5,0.593179,0.000068,DEIMOS 2011A,20.739,0.005
09,15,46.778,+,29,54,55.76,0.5,0.537405,0.000011,DEIMOS 2011A,22.025,0.011
09,15,46.855,+,29,47,47.10,0.5,0.591201,0.000010,DEIMOS 2011A,21.816,0.011
09,15,46.869,+,29,54,55.25,0.5,0.537408,0.000025,DEIMOS 2011A,22.156,0.008
09,15,46.892,+,29,53,52.95,0.5,0.505394,0.000011,DEIMOS 2011A,22.441,0.022
09,15,47.309,+,29,47,51.61,0.5,0.185456,0.000036,DEIMOS 2011A,20.930,0.005
09,15,47.378,+,29,53,39.29,0.5,0.419445,0.000079,DEIMOS 2011A,19.504,0.002
09,15,47.428,+,29,48,56.39,0.5,0.606315,0.000014,DEIMOS 2011A,22.026,0.013
09,15,47.535,+,29,54,28.43,0.5,0.185460,0.000107,DEIMOS 2011A,17.907,0.001
09,15,47.535,+,29,54,28.43,0.5,0.527133,0.000018,DEIMOS 2011A,17.907,0.001
09,15,47.674,+,29,47,27.35,1.27,0.219368,0.000016,DEIMOS 2011A,NULL,NULL
09,15,47.719,+,29,53,33.33,0.5,0.388301,0.000016,DEIMOS 2011A,21.628,0.009
09,15,47.737,+,29,56,43.72,0.5,0.524897,0.000033,DEIMOS 2012B,20.113,0.003
09,15,47.784,+,29,56,05.31,0.5,0.880648,0.000077,DEIMOS 2011A,22.480,0.023
09,15,47.791,+,29,55,57.19,0.5,0.879755,0.000061,DEIMOS 2011A,23.034,0.018
09,15,47.817,+,29,49,15.11,0.5,0.591058,0.000050,DEIMOS 2011A,21.648,0.009
09,15,47.921,+,29,46,24.86,0.5,0.219920,0.000009,DEIMOS 2011A,21.005,0.008
09,15,48.552,+,29,46,41.83,0.5,0.535750,0.000010,DEIMOS 2011A,22.387,0.021
09,15,48.617,+,29,57,34.88,0.5,0.524705,0.000010,DEIMOS 2011A,22.068,0.011
09,15,48.700,+,29,57,42.35,0.5,0.519085,0.000046,DEIMOS 2012B,21.662,0.009
09,15,48.906,+,29,53,08.38,0.5,0.827163,0.000065,DEIMOS 2011A,22.050,0.016
09,15,48.948,+,29,48,31.13,0.5,0.638635,0.000026,DEIMOS 2011A,21.406,0.009
09,15,49.070,+,29,56,02.77,0.5,0.397267,0.000033,DEIMOS 2011A,19.387,0.002
09,15,49.130,+,29,58,03.93,0.5,0.663916,0.000065,DEIMOS 2011A,21.582,0.011
09,15,49.443,+,29,54,17.53,0.5,0.535780,0.000025,DEIMOS 2012B,20.799,0.007
09,15,49.448,+,29,57,08.21,0.5,0.503816,0.000017,DEIMOS 2011A,23.262,0.033
09,15,49.531,+,29,47,07.20,0.5,0.532979,0.000053,DEIMOS 2011A,22.552,0.016
09,15,49.637,+,29,46,47.21,0.5,0.112429,0.000054,DEIMOS 2011A,21.521,0.012
09,15,49.687,+,29,47,40.12,0.5,0.183783,0.000025,DEIMOS 2011A,19.953,0.003
